LayerID, SRAM IFMAP Start Cycle, SRAM IFMAP Stop Cycle, SRAM IFMAP Reads, SRAM Filter Start Cycle, SRAM Filter Stop Cycle, SRAM Filter Reads, SRAM OFMAP Start Cycle, SRAM OFMAP Stop Cycle, SRAM OFMAP Writes, DRAM IFMAP Start Cycle, DRAM IFMAP Stop Cycle, DRAM IFMAP Reads, DRAM Filter Start Cycle, DRAM Filter Stop Cycle, DRAM Filter Reads, DRAM OFMAP Start Cycle, DRAM OFMAP Stop Cycle, DRAM OFMAP Writes,
0, 33.0, 12592.0, 338688, 6.0, 32.0, 864, 63.0, 12637.0, 401408, -5493.0, 9152.0, 151708, -1024.0, -1.0, 864, 1806.0, 13085.0, 401439,
1, 33.0, 109715.0, 3484800, 1.0, 97584.0, 288, 63.0, 109714.0, 108900, -5493.0, 109573.0, 3484800, -1024.0, -1.0, 288, 55735.0, 111421.0, 108931,
2, 33.0, 25245.0, 802816, 1.0, 12670.0, 2048, 63.0, 25275.0, 802816, -5493.0, 24314.0, 802816, -1024.0, -1.0, 2048, 1806.0, 26171.0, 802847,
3, 33.0, 58052.0, 1806336, 1.0, 54942.0, 576, 63.0, 58108.0, 56448, -5493.0, 57500.0, 1784896, -1024.0, -1.0, 576, 56957.0, 58175.0, 56479,
4, 33.0, 25809.0, 802816, 1.0, 22642.0, 8192, 63.0, 25839.0, 802816, -5493.0, 24878.0, 802816, -1024.0, -1.0, 8192, 1806.0, 26735.0, 802847,
5, 33.0, 108329.0, 3359232, 1.0, 105382.0, 1152, 63.0, 108328.0, 104976, -5493.0, 106932.0, 3359232, -1024.0, -1.0, 1152, 57051.0, 109912.0, 105007,
6, 33.0, 51649.0, 1605632, 1.0, 48482.0, 16384, 63.0, 51679.0, 1605632, -5493.0, 51528.0, 1605632, -2048.0, -1.0, 16384, 1806.0, 51743.0, 1605663,
7, 33.0, 31548.0, 903168, 1.0, 30762.0, 1152, 63.0, 31576.0, 28224, -5493.0, 29571.0, 881792, -1024.0, -1.0, 1152, 31607.0, 32488.0, 28224,
8, 33.0, 28065.0, 802816, 1.0, 27250.0, 32768, 63.0, 28095.0, 802816, -5493.0, 27040.0, 802816, -4096.0, -1.0, 32768, 1994.0, 28991.0, 802847,
9, 33.0, 55409.0, 1557504, 1.0, 54702.0, 2304, 63.0, 55408.0, 48672, -5493.0, 55066.0, 1557504, -1024.0, -1.0, 2304, 55439.0, 56959.0, 48672,
10, 33.0, 56161.0, 1605632, 1.0, 55346.0, 65536, 63.0, 56191.0, 1605632, -5493.0, 56040.0, 1605632, -7168.0, -1.0, 65536, 1994.0, 56255.0, 1605663,
11, 33.0, 20834.0, 451584, 1.0, 20622.0, 2304, 63.0, 20848.0, 14112, -5493.0, 18491.0, 430336, -1024.0, -1.0, 2304, 20879.0, 21319.0, 14112,
12, 33.0, 37089.0, 802816, 1.0, 36862.0, 131072, 63.0, 37119.0, 802816, -5083.0, -1.0, 50176, -13312.0, -1.0, 131072, 2558.0, 38015.0, 802847,
13, 33.0, 34241.0, 663552, 1.0, 34066.0, 4608, 63.0, 34240.0, 20736, -5493.0, 34209.0, 663552, -1024.0, -1.0, 4608, 34271.0, 34918.0, 20736,
14, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -5493.0, 74088.0, 1605632, -26624.0, -1.0, 262144, 2558.0, 74303.0, 1605663,
15, 33.0, 34241.0, 663552, 1.0, 34066.0, 4608, 63.0, 34240.0, 20736, -5493.0, 34209.0, 663552, -1024.0, -1.0, 4608, 34271.0, 34918.0, 20736,
16, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -5493.0, 74088.0, 1605632, -26624.0, -1.0, 262144, 2558.0, 74303.0, 1605663,
17, 33.0, 34241.0, 663552, 1.0, 34066.0, 4608, 63.0, 34240.0, 20736, -5493.0, 34209.0, 663552, -1024.0, -1.0, 4608, 34271.0, 34918.0, 20736,
18, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -5493.0, 74088.0, 1605632, -26624.0, -1.0, 262144, 2558.0, 74303.0, 1605663,
19, 33.0, 34241.0, 663552, 1.0, 34066.0, 4608, 63.0, 34240.0, 20736, -5493.0, 34209.0, 663552, -1024.0, -1.0, 4608, 34271.0, 34918.0, 20736,
20, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -5493.0, 74088.0, 1605632, -26624.0, -1.0, 262144, 2558.0, 74303.0, 1605663,
21, 33.0, 34241.0, 663552, 1.0, 34066.0, 4608, 63.0, 34240.0, 20736, -5493.0, 34209.0, 663552, -1024.0, -1.0, 4608, 34271.0, 34918.0, 20736,
22, 33.0, 74209.0, 1605632, 1.0, 73982.0, 262144, 63.0, 74239.0, 1605632, -5493.0, 74088.0, 1605632, -26624.0, -1.0, 262144, 2558.0, 74303.0, 1605663,
23, 33.0, 20553.0, 225792, 1.0, 20481.0, 4608, 63.0, 20560.0, 7056, -5493.0, 14361.0, 152666, -1024.0, -1.0, 4608, 20591.0, 20811.0, 7056,
24, 33.0, 73185.0, 802816, 1.0, 73105.0, 524288, 63.0, 73215.0, 802816, -2542.0, -1.0, 25088, -51200.0, 71389.0, 524288, 5096.0, 74111.0, 802847,
25, 33.0, 29633.0, 82944, 1.0, 29593.0, 9216, 63.0, 29632.0, 2592, -5083.0, -1.0, 50176, -1024.0, -1.0, 9216, 29663.0, 29743.0, 2592,
26, 33.0, 146401.0, 1605632, 1.0, 146321.0, 1048576, 63.0, 146431.0, 1605632, -5083.0, -1.0, 50176, -51200.0, 142889.0, 1048576, 5096.0, 146495.0, 1605663,
